College Name,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,91,83,96,79,75,77,86,88,103,107,103,106,125,143,148,137
American,,,,,,,,,,,,,,,,,,,,,,,,,,85,83,84,79,82,77,75,71,72,71,69,78,77,76,79,72
Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,96,96,102,120,124,120,119,121,121,124,124,106,117,97,103,105
Auburn,,,,,,,,,,,,,,,,,,,,,,,,,,96,96,88,85,82,89,91,103,102,99,103,115,107,97,99,97
Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,75,76,80,79,75,77,75,71,72,71,75,78,79,76,75,77
Binghamton,,,,,,,,,,,,,,,,,,,,,,,,,,82,77,80,86,88,89,97,88,89,86,87,80,79,88,83,83
Boston College,,,,,,,,,,,,,,37,38,38,36,39,38,38,40,40,37,40,34,35,34,34,31,31,31,31,31,30,31,32,38,37,35,36,36
Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,57,60,56,56,53,51,41,42,41,39,37,42,40,42,42,41
Brandeis,,,,,,,,,,,,,,30,29,28,31,31,31,34,31,32,32,34,31,31,31,31,34,31,33,32,35,34,34,34,35,40,42,42,44
Brigham Young,,,,,,,,,,,,,,,,,,,,,,,,,,79,113,71,75,71,68,62,62,66,68,61,63,77,80,79,89
Brown,,,7,,,10,13,15,12,17,18,12,11,9,8,9,10,14,15,16,17,17,13,15,15,14,16,16,15,15,15,14,16,14,14,14,14,14,14,14,13
Caltech,12,,,,,21,3,4,5,4,5,5,7,7,9,9,9,1,4,4,4,5,8,7,4,5,6,4,7,5,10,10,10,10,12,10,12,12,9,9,9
Carnegie Mellon,13,,,,,,,,22,24,19,24,24,23,28,23,25,23,23,22,21,23,22,22,21,22,22,22,23,23,23,23,25,23,24,25,25,25,26,25,22
Case Western Reserve,,,,,,,,,,,,,,35,38,37,34,34,38,38,37,37,35,37,38,41,41,41,41,38,37,37,38,37,37,37,42,40,42,42,44
Catholic,,,,,,,,,,,,,,,,,,,,,,,,,,112,116,121,120,119,120,121,116,123,118,124,136,147,153,148,176
Central Florida UCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,137
Chicago,6,,5,,,8,10,9,11,10,9,9,10,11,12,14,14,13,10,9,12,13,14,15,9,9,8,8,9,5,4,5,4,4,3,3,3,6,6,6,6
Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,151
Clark,,,,,,,,,,,,,,,,,,,,,,,,,,91,80,88,86,94,83,75,76,75,74,81,66,91,103,103,97
Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,67,61,61,64,68,68,62,62,61,66,67,66,70,74,75,77
Colorado School of Mines,,,,,,,,,,,,,,,,,,,,,,,,,,75,80,77,72,75,77,91,88,75,82,75,80,84,88,83,89
Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,79,77,77,86,94,97,86,88,96,96,94,106,97,103,103,97
Columbia,,,,,,18,8,11,10,9,10,11,9,15,11,9,10,10,10,9,10,11,9,9,9,9,8,8,4,4,4,4,4,4,5,5,3,3,3,2,18
Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,64,66,66,69,58,63,57,58,57,60,56,63,64,63,63,67
Cornell,8,,,,,11,14,11,9,12,11,10,15,13,14,14,6,11,10,14,14,14,14,13,12,12,14,15,15,15,15,16,15,15,15,14,16,17,18,17,17
Dartmouth,10,,10,,,6,7,8,8,8,7,8,8,7,7,7,10,11,9,9,9,9,9,9,9,11,11,11,9,11,10,10,11,12,11,11,12,12,13,13,12
Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,112,108,110,99,101,115,112,103,129,133,133,147,132,133,127,127
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,71,71,68,75,75,75,75,76,75,79,81,89,91,97,93,89
Denver,,,,,,,,,,,,,,,,,,,,,,,,,,85,89,84,86,82,83,91,88,86,86,87,96,97,80,93,105
Drexel,,,,,,,,,,,,,,,,,,,,,,,,,,108,89,88,86,88,83,97,95,108,111,97,124,132,133,127,105
Duke,,,6,,,7,12,5,7,7,7,7,6,6,4,3,6,7,8,8,4,5,5,5,8,8,8,10,9,10,8,7,8,8,8,9,8,10,12,9,10
Emory,,,,,,25,22,,,,21,25,16,17,19,9,16,18,18,18,18,18,20,20,18,17,18,17,20,20,20,20,21,21,20,21,22,21,21,20,22
Florida,,,,,,,,,,,,,,47,,,,49,,,,48,50,50,47,49,49,47,53,58,54,49,48,47,50,42,35,34,30,28,29
George Washington,,,,,,,,,,,,,,,46,,50,,,,,51,52,53,52,54,53,53,51,50,51,,54,52,54,56,59,62,58,59,62
Georgetown,,,,,,,17,25,19,19,17,17,25,21,23,21,20,23,23,22,24,23,25,23,23,23,23,23,21,22,21,20,21,21,20,20,22,24,23,23,22
Georgia Tech,,,,,,,,,,,,,,42,48,41,46,40,35,41,38,37,41,37,38,35,35,35,35,36,36,36,36,36,34,34,35,29,35,38,44
Harvard,2,,2,,,2,4,3,1,1,1,1,1,1,3,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3
Howard,,,,,,,,,,,,,,,,,,,,,,,,,,96,102,96,104,111,120,142,145,135,124,110,89,104,80,83,89
Illinois,8,,,,,20,,,,,,,,45,50,45,42,34,41,36,38,40,37,42,41,38,40,39,47,45,46,41,42,41,44,52,46,48,47,47,41
Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,75,71,71,75,75,83,75,76,75,86,90,89,79,76,68,72
Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,64,66,71,72,71,72,73,71,82,82,78,89,84,88,83,83
Johns Hopkins,,,,,,16,11,14,15,11,15,15,22,10,15,14,14,7,15,16,15,14,14,13,16,14,15,14,13,13,13,12,12,10,10,11,10,10,9,9,7
Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,85,89,96,104,101,106,101,106,115,129,124,102,117,124,127,121
Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,118,116,128,129,124,125,119,129,86,86,87,106,121,143,136,137
Lehigh,,,,,,,,,,,,,,33,32,34,36,34,38,38,40,37,37,32,33,31,35,35,37,38,38,41,40,47,44,46,53,50,49,49,51
Loyola Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,112,116,119,117,119,106,101,106,103,103,103,115,104,112,103,115
Marquette,,,,,,,,,,,,,,,,,,,,,,,,,,82,77,84,75,82,83,75,76,86,86,90,89,84,88,83,83
Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,54,53,53,56,55,58,62,62,57,60,61,63,64,58,59,55
Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,96,102,106,99,94,97,91,76,75,74,75,70,64,66,68,67
Miami Oh,,,,,,,,,,,,,,,,,,,,,,,,,,67,66,77,79,90,89,75,76,82,79,78,89,91,103,103,105
Michigan,7,,,,,8,25,17,21,22,24,23,21,24,24,23,25,25,25,25,25,25,22,25,24,25,26,27,29,28,29,28,29,29,27,28,27,25,24,23,25
Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,71,61,61,64,68,68,69,71,69,71,69,76,70,66,68,62
Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,151
Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,91,96,102,94,90,97,97,99,115,118,115,129,130,124,122,121
MIT,10,,,,,11,5,7,6,6,5,4,4,5,5,6,4,3,5,5,4,4,5,7,4,7,4,4,7,5,6,7,7,7,7,5,3,3,4,2,2
NC State,,,,,,,,,,,,,,,,,,,,,,,,,,85,83,88,111,101,106,101,95,89,92,81,80,84,80,79,72
Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,91,89,96,104,101,101,101,99,108,111,124,127,132,133,127,151
New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,108,113,110,104,101,106,97,99,123,124,120,129,139,143,127,137
North Carolina at Chapel Hill,,,9,,,11,23,18,20,25,,,,27,25,27,24,27,25,28,28,29,29,27,27,28,30,28,30,29,30,30,30,30,30,30,30,29,28,28,29
Northeastern,,,,,,,,,,,,,,,,,,,,,,,,,,96,96,80,69,62,56,49,42,47,39,40,44,40,49,49,44
Northwestern,,,,,,17,16,19,23,14,13,13,14,13,9,9,10,14,13,12,10,11,11,12,14,14,12,12,12,12,12,12,13,12,12,11,10,9,9,9,10
Notre Dame,,,,,,,18,23,,,,25,19,18,17,19,18,19,19,19,18,19,18,18,20,19,18,20,19,19,17,18,16,18,15,18,18,15,19,19,18
NYU,,,,,,,,,,,,,,36,35,34,35,34,33,32,35,35,32,37,34,34,33,32,33,33,32,32,32,32,36,30,30,29,30,28,25
Ohio St,,,,,,,,,,,,,,,,,,,,,,,,,,57,56,53,56,55,56,52,54,52,54,54,56,54,53,49,49
Ohio Univ,,,,,,,,,,,,,,,,,,,,,,,,,,112,116,115,124,124,131,135,129,,,,,,,,182
Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,108,108,102,111,101,101,101,106,108,111,110,106,125,133,136,127
Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,112,108,115,111,101,115,109,106,129,129,115,115,117,103,117,105
Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,96,102,115,99,101,106,112,116,103,111,124,129,139,133,136,194
Penn State,,,,,,,,,,,,,,41,,45,44,40,44,46,45,48,50,48,47,48,47,47,47,45,46,37,48,47,50,52,59,57,63,63,77
Penn,,,,,,19,15,20,13,13,14,16,12,11,13,7,6,7,6,5,4,5,4,4,7,5,6,4,5,5,8,7,8,9,8,8,8,6,8,8,7
Pepperdine,,,,,,,,,,,,,,,,,,,49,48,47,51,52,55,54,54,56,58,53,55,54,57,54,52,50,46,46,50,49,49,55
Pitt,,,,,,,,,,,,,,,,,,,,,,,,,,59,58,56,64,58,58,62,62,66,68,68,70,57,58,59,62
Princeton,4,,4,,,4,2,2,4,4,2,2,2,2,2,1,1,4,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
Purdue,,,,,,,,,,,,,,,,,,,,,,,,,,64,66,61,56,62,65,68,62,61,60,56,56,57,53,49,51
Rice,,,,,,14,9,10,16,15,12,14,12,16,16,17,18,14,13,12,15,16,17,17,17,17,17,17,17,17,17,18,19,18,15,14,16,17,16,17,15
RIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,105
Rochester,,,,,,,,,25,,,,,29,30,31,29,32,33,36,36,35,37,34,34,35,35,35,37,35,33,32,33,33,32,34,33,29,34,34,36
RPI,,,,,,,,,,,,,,39,,48,49,,49,48,47,48,46,43,42,44,41,42,41,50,41,41,42,41,39,42,49,50,53,55,51
Rutgers,,,,,,,,,,,,,,45,,,,,,,,60,58,60,60,59,64,66,64,68,68,69,70,72,70,69,56,62,63,63,55
San Diego St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,151
SMU,,,,,,,,,,,,,,,,,,,,,,,,,,67,66,68,56,62,58,60,58,61,56,61,63,64,66,68,72
South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,108,111,115,119,121,118,122,115
South Florida USF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,97
St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,82,80,84,86,88,92,101,99,103,103,103,102,104,103,99,105
Stanford,1,,1,,,1,6,6,2,3,4,6,5,4,6,5,4,6,6,5,4,5,5,5,4,4,4,4,5,5,6,5,4,4,5,5,7,6,6,6,3
Stevens Inst Tech,,,,,,,,,,,,,,,,,,,,,,,,,,75,83,84,86,88,75,82,76,75,71,69,70,74,80,83,83
Stony Brook,,,,,,,,,,,,,,,,,,,,,,,,,,96,96,96,99,111,92,82,88,89,96,97,80,91,88,93,77
Syracuse,,,,,,,,,,,,,,49,44,40,47,,,,,55,52,50,52,50,53,58,55,62,58,62,58,61,60,61,53,54,58,59,62
TCU,,,,,,,,,,,,,,,,,,,,,,,,,,108,113,110,99,97,92,82,76,82,82,78,80,97,80,83,89
Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,96,108,106,104,101,101,101,106,89,92,97,96,121,118,117,115
Texas A&amp;M,,,,,,,,,,,,,,,48,,,,,48,,67,62,60,60,62,64,61,63,58,65,69,68,70,74,69,66,70,66,68,67
Tufts,,,,,,,,,,,,,,25,22,23,25,29,29,28,28,27,28,27,27,28,28,28,28,29,28,28,27,27,27,29,27,29,30,28,32
Tulane,,,,,,,,,,,,,,38,36,34,36,44,45,46,43,44,43,43,44,50,51,50,51,50,51,52,54,41,39,40,44,40,41,42,44
Tulsa,,,,,,,,,,,,,,,,,,,,,,,,,,91,83,88,93,75,83,86,88,96,103,110,129,153,143,148,137
U of Miami,,,,,,,,,,,,,,,,,,,,,,,,,,52,51,50,47,38,44,47,48,51,44,46,53,57,49,55,55
UC Berkeley,5,,7,,,5,24,13,13,16,16,19,23,26,27,23,22,20,20,20,20,21,21,20,21,21,21,21,22,21,21,20,20,20,20,21,22,22,22,21,20
